"Title","Abstract","PID"
"Intra-host diversity of hepatitis B virus during mother-to-child transmission: the X gene may play a key role in virus survival in children after transmission.","Mother-to-child transmission of hepatitis B virus (HBV) is the main route of transmission in Asia, and characterization of HBV quasispecies is needed to further understand virus evolution and adaptation. To understand changes in HBV during mother-to-child transmission, we enrolled nine pairs of mothers and children in the study, including a set of twins. Three groups were infected with HBV genotype C, and six groups were infected with HBV genotype B. The full-length HBV genome was amplified by PCR from serum samples before antiviral treatment, the whole viral genomes from each pair were sequenced, and the complexity and diversity of the quasispecies were analyzed. The entropy of transmitted HBV in children was found to be lower than their mothers, suggesting that there was a bottleneck effect during HBV transmission from the mother to the child. Selective evolution was shown by calculating pN and pS in the whole genomes, and the highest values were obtained for the X gene, which plays a role in viral replication and immune escape. All genotype C patients and only one genotype B pair had a pN/pS greater than 1 ratio, indicating that positive selection had occurred. In addition, quasispecies were found to be different between the twin children despite having the same mother, indicating that virus evolution is host-specific.","32240369"
"Tenofovir prophylaxis for preventing mother-to-child hepatitis B virus transmission in China: a cost-effectiveness analysis.","OBJECTIVES: This study aimed to evaluate whether tenofovir prophylaxis for mothers with high viral loads in late pregnancy is a cost-effective way to prevent mother-to-child HBV transmission in China.METHODS: A decision tree-Markov model was constructed for a cohort of infants born to HBV surface antigen-positive mothers in China, 2016. The expected cost and effectiveness were compared between the current active-passive immunoprophylaxis strategy and the tenofovir prophylaxis strategy and the incremental cost-effectiveness ratio was calculated. One-way and multi-way probabilistic sensitivity analyses were performed.RESULTS: For 100,000 babies born to mothers positive for hepatitis B surface antigen, tenofovir prophylaxis strategy would prevent 2,213 perinatal HBV infections and gain 931 quality-adjusted life years, compared with the current active-passive immunoprophylaxis strategy. The incremental cost-effectiveness ratio was <U+FFE5>59,973 ($9,087) per QALY gained. This result was robust over a wide range of assumptions.CONCLUSIONS: Tenofovir prophylaxis for mothers with high viral loads in late pregnancy was more cost-effective than the current active-passive immunoprophylaxis alone. Embedding tenofovir prophylaxis for mothers with high virus loads into the present hepatitis B prevention strategies should be considered to further prevent mother-to-child hepatitis B transmission in China.","32205288"
"[Commentary: evidence, evidence, always evidence. 2019 Chinese practice guidelines for the prevention and treatment of hepatitis B virus mother-to-child transmission].","","32164063"
"Efficacy of oral antiviral drugs to prevent mother-to-child transmission of hepatitis B virus: a network meta-analysis.","BACKGROUND: Hepatitis B is a serious global health problem. Mother-to-child transmission (MTCT) of hepatitis B virus (HBV) is a major risk factor in the endemicity of HBV infection. Oral antiviral drugs are recommended to highly viremic mothers to decrease MTCT of HBV. The present network analysis compared the efficacy of available treatments to prevent the MTCT of HBV.METHODS: The electronic databases of PubMed, Embase, Web of Science, Scopus, and Wanfang data were searched for eligible studies. Pair-wise meta-analysis and Bayesian network analysis were applied to compare the efficacy of antiviral drugs.RESULTS: Seventy-five studies involving 12,740 pregnant females were eligible for analysis. On pair-wise analysis, lamivudine (OR 0.15, 95% CI 0.09-0.25, I-squared<U+2009>=<U+2009>0%), telbivudine (OR 0.07, 95% CI 0.05-0.10, I-squared<U+2009>=<U+2009>0%) and tenofovir (OR 0.07, 95% CI 0.04-0.13, I-squared<U+2009>=<U+2009>0%) significantly decreased the MTCT rate. Results of multiple comparisons with ranking probability based on Bayesian analysis showed that tenofovir (SUCRA<U+2009>=<U+2009>96.83%) appeared more effective than the two other drugs.CONCLUSION: In addition to active and passive immunoprophylaxis, lamivudine, telbivudine and tenofovir in highly viremic mothers can further decrease MTCT of HBV. Based on direct and indirect evidence, tenofovir appears to be more effective than the two other drugs in the prevention of HBV MTCT.","32130674"
"Efficacy of antiviral therapy during the second or the third trimester for preventing mother-to-child hepatitis B virus transmission: a systematic review and meta-analysis.","For pregnant women with high viral load, antiviral therapy has been administered in addition to active and passive immune prophylaxis as a crucial adjunctive therapy to interrupt mother-to-child hepatitis B virus (HBV) transmission (MTCT). However, the time of antiviral therapy onset remains controversial. A systematic review and meta-analysis was conducted to compare the efficacy of antiviral therapy during the second or the third trimester for prevention of HBV vertical transmission. We searched nine databases for observational studies and randomized controlled trials that enrolled pregnant women with positive HBsAg treated with antivirals. The outcomes of interest were maternal HBV-DNA levels prior to delivery and the rates of HBV MTCT. We included nine studies that enrolled 1,502 pregnant women. The average HBV-DNA level before treatment was approximately 8 log10 copies/mL. Compared to the onset of antiviral intervention in the third trimester, the beginning of treatment in the second trimester distinctly reduced maternal predelivery HBV-DNA levels. However, no significant difference in HBV MTCT was found between the second and third trimester groups. Furthermore, the subgroup analysis showed that there were no significant differences between groups beginning treatment at different times (second or third trimester) with regard to HBV MTCT or other evaluated endpoints. For pregnant women with HBV-DNA levels less than or equal to 8 log10 copies/mL, the beginning of antiviral treatment can be delayed until the third trimester.","32074216"
"Cost-effectiveness of couple-based immunization strategy to prevent mother-to-child transmission of hepatitis B virus in China: A decision-analytic Markov model.","Mother-to-child transmission (MTCT) is the major route of HBV transmission in many parts of the world. We designed couple-based immunization strategy and aimed to assess the cost-effectiveness of this strategy in China.</AbstractText>: Mother-to-child transmission (MTCT) is the major route of HBV transmission in many parts of the world. We designed couple-based immunization strategy and aimed to assess the cost-effectiveness of this strategy in China.We constructed a decision-analytic Markov model to compared current immunization strategy consisting of hepatitis B vaccination (HepB) for all infants and extra hepatitis B immunoglobulin for infants with HBsAg-positive mothers versus couple-based immunization strategy including additional HBV screening for pre-pregnant couples and HepB for high-risk wives. Costs were assessed from a healthcare system perspective. Number of infants with perinatal HBV infection, life-years (LYs), quality-adjusted life-years (QALYs), and disability-adjusted life-years (DALYs) were used to access effects. We calculated incremental cost-effectiveness ratios (ICERs) and performed sensitivity analysis.</AbstractText>: We constructed a decision-analytic Markov model to compared current immunization strategy consisting of hepatitis B vaccination (HepB) for all infants and extra hepatitis B immunoglobulin for infants with HBsAg-positive mothers versus couple-based immunization strategy including additional HBV screening for pre-pregnant couples and HepB for high-risk wives. Costs were assessed from a healthcare system perspective. Number of infants with perinatal HBV infection, life-years (LYs), quality-adjusted life-years (QALYs), and disability-adjusted life-years (DALYs) were used to access effects. We calculated incremental cost-effectiveness ratios (ICERs) and performed sensitivity analysis.Based on the birth cohort of 17,578,815 livebirths in China in 2017, couple-based immunization strategy reduced perinatal HBV infection by 18% (9194/51,365) with cost increase of ¥ 41 million, saved 49,986 LYs (ICER: ¥819 per LY saved), gained 48,879 QALYs (ICER: ¥837 per QALY gained) and averted 63,362 DALYs (¥646 per DALY averted) compared with current immunization strategy. These ICERs were below willingness-to-pay levels of China's once GDP per capita (¥59,660), remaining robust in sensitivity analysis.</AbstractText>: Based on the birth cohort of 17,578,815 livebirths in China in 2017, couple-based immunization strategy reduced perinatal HBV infection by 18% (9194/51,365) with cost increase of ¥ 41 million, saved 49,986 LYs (ICER: ¥819 per LY saved), gained 48,879 QALYs (ICER: ¥837 per QALY gained) and averted 63,362 DALYs (¥646 per DALY averted) compared with current immunization strategy. These ICERs were below willingness-to-pay levels of China's once GDP per capita (¥59,660), remaining robust in sensitivity analysis.Under the intermediate endemic of HBV infection in China, implementation of couple-based immunization strategy can improve the efficiency of preventing MTCT of HBV, and is highly cost-effective. This strategy can be a new immunization strategy choice to achieve the target of eliminating hepatitis B by 2030.</AbstractText>: Under the intermediate endemic of HBV infection in China, implementation of couple-based immunization strategy can improve the efficiency of preventing MTCT of HBV, and is highly cost-effective. This strategy can be a new immunization strategy choice to achieve the target of eliminating hepatitis B by 2030.National Natural Science Foundation of China.</AbstractText>: National Natural Science Foundation of China.","32055793"
"[Reply to the comments on 2019 Chinese guidelines for the prevention and treatment of mother-to-child transmission of hepatitis B virus].","","32023695"
"[Comments on 2019 Chinese practice guideline for the prevention and treatment of hepatitis B virus mother-to-child transmission].","Recently, the Society of Infectious Diseases of Chinese Medical Association and Chinese GRADE Center jointly released the &quot;2019 Chinese practice guideline for the prevention and treatment of hepatitis B virus mother-to-child transmission&quot; . We concerned several issues in the Guideline, including the improper citation of some references, no recommendations for some key strategies for the prevention of hepatitis B virus mother-to-child transmission, insufficient or even lack of evidence for some recommendations and others. Based on the principle of academic contention, we present in this article our comments on the Guideline to discuss these issues with the Guideline's authors and readers.","32023694"
"Role of tenofovir disoproxil fumarate in prevention of perinatal transmission of hepatitis B virus from mother to child: a systematic review and meta-analysis.","To prevent the perinatal transmission of hepatitis B virus (HBV) from mother to child, administration of an antiviral agent during pregnancy has been attempted in women who are either hepatitis B e antigen positive or have a high viral load. In this systematic review and meta-analysis with randomized controlled trials, we analyzed the efficacy and safety of tenofovir disoproxil fumarate (TDF) in preventing the perinatal transmission of HBV in pregnant women who have high HBV DNA titers.</AbstractText>: To prevent the perinatal transmission of hepatitis B virus (HBV) from mother to child, administration of an antiviral agent during pregnancy has been attempted in women who are either hepatitis B e antigen positive or have a high viral load. In this systematic review and meta-analysis with randomized controlled trials, we analyzed the efficacy and safety of tenofovir disoproxil fumarate (TDF) in preventing the perinatal transmission of HBV in pregnant women who have high HBV DNA titers.Multiple comprehensive databases (PubMed, EMBASE, and Cochrane databases) were searched for studies evaluating the efficacy of TDF for the prevention of perinatal transmission of HBV.</AbstractText>: Multiple comprehensive databases (PubMed, EMBASE, and Cochrane databases) were searched for studies evaluating the efficacy of TDF for the prevention of perinatal transmission of HBV.Two studies (one open label study and one double blind study) were included and analyzed. Intention-to-treat analysis (527 pregnancies) showed that the preventive effect of TDF was not significant (odds ratio [OR], 0.53; 95% confidence interval [CI], 0.13 to 2.17; p = 0.38, I2 = 81%). However, the per-protocol analysis showed that TDF significantly reduced perinatal transmission (OR, 0.10; 95% CI, 0.01 to 0.77; p = 0.03, I2 = 0%). There was no significant difference between the TDF group and the control group with respect to maternal and fetal safety outcomes.</AbstractText>: Two studies (one open label study and one double blind study) were included and analyzed. Intention-to-treat analysis (527 pregnancies) showed that the preventive effect of TDF was not significant (odds ratio [OR], 0.53; 95% confidence interval [CI], 0.13 to 2.17; p = 0.38, I2 = 81%). However, the per-protocol analysis showed that TDF significantly reduced perinatal transmission (OR, 0.10; 95% CI, 0.01 to 0.77; p = 0.03, I2 = 0%). There was no significant difference between the TDF group and the control group with respect to maternal and fetal safety outcomes.In pregnant women who have high HBV DNA titers, TDF can reduce the perinatal transmission from mother to child without significant adverse events.</AbstractText>: In pregnant women who have high HBV DNA titers, TDF can reduce the perinatal transmission from mother to child without significant adverse events.","31878771"
"Japanese original delayed hepatitis B vaccination provides adequate immunogenicity against mother-to-child hepatitis B virus infection in preterm infants: A nationwide survey in Japan.","OBJECTIVE: We aimed to evaluate immunogenicity following Japanese original delayed hepatitis B (HB) vaccinations for prevention of mother-to-child HB infection in preterm infants.METHODS: A nationwide survey in Japan was conducted at certified neonatology facilities in 2014. Eighty-four preterm infants born from a serum hepatitis B surface (HBs) antigen-positive mother were included. We collected data on the following parameters: gestational age, birth weight (BW), age at HB vaccination, age at examination of serum anti-HBs titer, and serum anti-HBs titer. The delayed HB vaccination schedule was 3 doses of HB vaccines at 2, 3 and 5 months of age. A seropositive immunogenic response to HB vaccination was defined as an anti-HBs titer =10 mIU/mL. Seropositive rates were calculated in all participants. Four subgroups based on BW were as follows: &lt;1000 g (n = 13), 1000-1499 g (n = 16), 1500-1999 g (n = 26), and =2000 g (n = 29).RESULTS: Among 84 preterm infants who completed the delayed vaccination schedule, 82 (98%) achieved seropositive anti-HBs titer at a median age of 6 months. Seropositive rates of infants &lt;1000 g, 1000-1499 g, 1500-1999 g, and =2000 g were 92%, 94%, 100%, and 100%, respectively.CONCLUSION: The Japanese original delayed HB vaccinations achieved sufficient seropositive rates in preterm infants and provide immunogenicity against mother-to-child HB infection.","31839560"
